,Date,TimeGPT_no_finetune,TimeGPT_no_finetune-hi-95,TimeGPT_no_finetune-lo-95,unique_id_x,TimeGPT,TimeGPT-hi-95,TimeGPT-lo-95,Prophet,Prophet-hi-95,Prophet-lo-95,unique_id_y,LSTM,NHITS,RNN
33,2025-10-01,565.84106,584.1119,547.57025,H1,719.6631,764.3121,675.0141,518.3245996623781,484.20140728325384,553.5145389713538,,,,
34,2025-11-01,568.67084,589.1892,548.15247,H1,718.5519,762.2974,674.80634,523.0424305625219,486.9687155045973,558.9142807198103,,,,
35,2025-12-01,577.9887,600.6347,555.3427,H1,741.68604,785.87756,697.4945,529.7015109286137,492.7745251324696,566.981170547998,,,,
36,2026-01-01,576.7063,601.5494,551.8632,H1,741.71545,785.1342,698.2967,532.3113288833524,492.0907054905,572.8770702274622,,,,
37,2026-02-01,584.36755,609.33466,559.40045,H1,762.8104,810.44196,715.1789,536.6714158704901,497.39157714750695,578.0547125627116,,,,
38,2026-03-01,585.92096,612.9227,558.9192,H1,771.7084,820.9553,722.4614,540.9115974847456,499.88634929588835,583.8229096907855,,,,
39,2026-04-01,589.8951,618.3073,561.48285,H1,772.03033,819.7084,724.3523,545.4729701993105,503.09668069036326,589.736879868103,,,,
40,2026-05-01,596.0259,626.0899,565.96185,H1,779.72437,826.5425,732.90625,549.970727354593,505.4296734414933,596.9603886417167,,,,
41,2026-06-01,598.53894,632.16327,564.9146,H1,780.9287,824.2609,737.5965,554.8536688906754,506.2025582582763,602.2705816847322,,,,
42,2026-07-01,601.7552,637.5593,565.95105,H1,794.89905,840.29333,749.50476,559.3880262190155,509.8445995877507,609.7327849696491,,,,
43,2026-08-01,604.4129,642.79443,566.0314,H1,798.0899,842.8418,753.338,563.9824861315718,511.6114818199172,616.059520869822,,,,
44,2026-09-01,608.525,650.33124,566.7188,H1,810.29126,857.1031,763.47943,568.7507846265224,518.2898486325794,621.2507650269058,,,,
45,2026-10-01,610.86664,655.5757,566.1576,H1,806.7569,851.69244,761.82135,573.2479821198792,517.5055073117603,627.7008242532714,,,,
46,2026-11-01,613.75854,661.6582,565.8589,H1,805.68445,848.6148,762.7541,578.0468865297889,523.4226443279265,636.4079278189181,,,,
47,2026-12-01,621.0315,683.2853,558.7777,H1,823.4796,867.6523,779.30695,584.8057527040346,529.0816756648514,642.3115620151877,,,,
48,2027-01-01,621.90063,624.3935,619.4078,H1,844.7466,855.89087,833.6023,587.0158067662094,527.4705412185964,646.3482089453096,,,,
49,2027-02-01,628.96204,634.60547,623.3186,H1,872.41565,891.729,853.1023,591.9282364543225,530.9599512438165,653.6240708314267,,,,
50,2027-03-01,631.7098,638.3259,625.0936,H1,890.61194,914.9833,866.2406,595.6555342389419,534.1026353868185,659.9802148828638,,,,
51,2027-04-01,634.97754,643.5926,626.3625,H1,892.82605,920.7052,864.9469,600.3639731946014,535.1663132337486,666.5935238052289,,,,
52,2027-05-01,641.1789,651.6357,630.7221,H1,905.60675,936.05,875.1635,605.0052113703923,538.5690172547977,672.7041817367724,,,,
53,2027-06-01,642.80194,653.13605,632.46783,H1,913.5493,945.9519,881.1467,609.9276364659373,539.1091657861017,680.3270896150966,,,,
54,2027-07-01,646.21313,658.5113,633.915,H1,934.6835,972.1487,897.21826,614.3586831301718,547.0329388523134,683.7204763902434,,,,
55,2027-08-01,649.95856,663.6331,636.284,H1,943.9944,984.13806,903.8507,618.8494556534961,542.7414610046213,692.6837928869826,,,,
56,2027-09-01,652.88226,668.89087,636.87366,H1,961.2228,1006.01196,916.4336,623.6615505074775,549.261773189982,700.4625746510686,,,,
57,2027-10-01,655.9158,674.1866,637.64496,H1,960.5459,1005.1949,915.8969,628.1737787407992,551.2099292509996,705.4843279082781,,,,
58,2027-11-01,657.5028,678.0212,636.98444,H1,955.22876,998.9743,911.4832,633.0540014903398,554.7125426924503,712.6178894841231,,,,
59,2027-12-01,664.12335,686.76935,641.47736,H1,980.9689,1025.1604,936.77734,639.9060075668895,560.0602127292996,719.6965188801354,,,,
60,2028-01-01,663.1809,688.024,638.3378,H1,985.1148,1028.5336,941.6961,641.7216564395525,559.1789128501362,723.496174757875,,,,
61,2028-02-01,669.6742,694.6413,644.7071,H1,1011.515,1059.1466,963.8835,647.1852508975987,561.7439259379075,730.3040010338066,,,,
62,2028-03-01,671.29456,698.2963,644.2928,H1,1022.9368,1072.1838,973.6899,651.3988128102839,565.737937430311,739.4289629615186,,,,
63,2028-04-01,674.8219,703.23413,646.40967,H1,1019.05774,1066.7357,971.37976,655.6867807558033,567.2024609111975,744.88349194367,,,,
64,2028-05-01,680.18695,710.251,650.1229,H1,1027.8054,1074.6235,980.9873,659.8965961874773,568.7980237949058,748.2448295039845,,,,
65,2028-06-01,681.8797,715.504,648.2554,H1,1029.3505,1072.6826,986.01825,664.688665591464,573.84255044448,757.4037532262305,,,,
66,2028-07-01,685.01465,720.8188,649.2105,H1,1047.8906,1093.2849,1002.49634,669.4208979180154,577.7621482229647,763.0219262300722,,,,
67,2028-08-01,686.97003,725.35156,648.5885,H1,1050.4622,1095.2141,1005.71027,674.2281262930312,580.3938469762613,772.7584790779333,,,,
68,2028-09-01,690.7195,732.5257,648.91327,H1,1065.8483,1112.66,1019.0365,678.916364772396,579.5310885826524,775.7583836603004,,,,
69,2028-10-01,692.41833,737.1274,647.7093,H1,1058.8826,1103.8181,1013.947,683.3884449943434,584.4097931751883,781.7353482239279,,,,
70,2028-11-01,694.11865,742.0183,646.219,H1,1054.0043,1096.9346,1011.0739,688.025581950695,585.9769009751005,786.8082573744585,,,,
71,2028-12-01,698.9271,761.1809,636.67334,H1,1073.7092,1117.882,1029.5365,694.5782586861607,589.8609115371644,797.6495360450275,,,,
72,2029-01-01,699.37695,701.8698,696.8841,H1,1099.0142,1110.1584,1087.8699,697.5928936487368,588.5319459109198,803.7741550148007,,,,
