Waste,up95,down95,Date
0.0,0.0,0.0,1999
0.0,0.0,0.0,2000
1.5279084132531989e-09,4.411494453806947e-09,2.284967524754933e-10,2001
5.38676765290053e-08,1.3423393416019723e-07,1.2486630590902604e-08,2002
4.1002393099262873e-07,9.195207814092117e-07,1.2136880502375402e-07,2003
1.6906679838766924e-06,3.5166879767658734e-06,5.873402459312417e-07,2004
5.060920180149319e-06,9.9334368664581e-06,1.9694839806956985e-06,2005
1.2414731667276174e-05,2.3285540993126885e-05,5.2424941794121395e-06,2006
2.6625472918435427e-05,4.83936584759393e-05,1.207179661328671e-05,2007
5.1974380446180534e-05,9.179362273124954e-05,2.475227472986472e-05,2008
9.45850093818913e-05,0.00016316376390184393,4.679138273732457e-05,2009
0.00016288745520410508,0.00027536422012055584,8.360584303498685e-05,2010
0.00026832603638723236,0.00044454438377005936,0.0001421553899946272,2011
0.0004272203543325315,0.0006959429943770668,0.0002322266947232144,2012
0.0006669893347475168,0.0010757360998377764,0.0003699449840026795,2013
0.00104296773288498,0.0016768099995540411,0.0005824850193475535,2014
0.0016780962606862434,0.002713031405876608,0.0009312641950057795,2015
0.0028438304169296847,0.00468091028636235,0.001543177140898893,2016
0.005077691139309735,0.008523525941538466,0.002670884932034508,2017
0.009364537439851202,0.015944947234099564,0.004829383052734083,2018
0.017456423601867773,0.02994607439704906,0.008850552836426046,2019
0.032347559150870946,0.0555297871936653,0.016354685210690768,2020
0.05880340427615106,0.1004900264714573,0.029905836470456786,2021
0.10388421296027608,0.17560416508001686,0.05351217384297378,2022
0.1775276557589141,0.2973139625500629,0.09316929554177336,2023
0.2932242920458883,0.4839020009997503,0.15677868013979396,2024
0.46887990253529926,0.7631469654124856,0.2559797224461105,2025
0.7278268059106351,1.16870729678641,0.4064095396182727,2026
1.0996590013338956,1.7365395327737592,0.6246813784603344,2027
1.6208839339839423,2.5345536938135624,0.9390214464871366,2028
2.335171097010077,3.596654348649195,1.374609031039717,2029
3.2931292336160443,5.010924622298955,1.9712537614572871,2030
4.5513433994759795,6.855630098407266,2.777750377713149,2031
6.170635498141473,9.14546095930454,3.8388366960328395,2032
8.213368884044623,12.017842121593395,5.206531323301905,2033
10.739958231434706,15.48974216860915,6.927034603492813,2034
13.804684480231709,19.62045809760921,9.067858079277983,2035
17.451327142391865,24.4362901156131,11.666779177059897,2036
21.70904867301224,29.965068543127924,14.808287057039516,2037
26.589268466161077,36.08384343970888,18.492628355251718,2038
32.08393603480373,42.79219895546056,22.754268339077875,2039
38.16559274927888,50.08697055488422,27.60866018356929,2040
44.78894322718924,57.81710604301191,33.084397169350105,2041
51.893459852093095,65.90078578279137,39.140320429482884,2042
59.40600116478731,74.29258364290163,45.663320825608714,2043
67.2427725579141,82.85194041608872,52.6684314467259,2044
75.31028297768665,91.41342931798775,60.01675256229689,2045
83.50613236331021,100.05812509959391,67.70284927877165,2046
91.72101662413883,108.42714441388537,75.50629482294858,2047
99.8436878075975,116.5021357681626,83.45528420230468,2048
107.76929665499925,124.22664254282036,91.38940945220845,2049
115.40998109076861,131.44053424329036,99.22995215423825,2050
